{'nroFac': 20, 'nroCli': 50, 'demanda': array([[ 54.,  53.,  78.,  36.,  40.,  36.,  63.,  61.,  42.,  54.],
       [ 49.,  40.,  31.,  75.,  51.,  37.,  77.,  37.,  74.,  35.],
       [ 38.,  48.,  69.,  53.,  53.,  70.,  77.,  63.,  41.,  64.],
       [ 75.,  43.,  54.,  68.,  53.,  78.,  62.,  52.,  71.,  64.],
       [ 65.,  78.,  73.,  57.,  56.,  35.,  59.,  74.,  66.,  73.],
       [140., 531., 304., 303., 542., 431., 750., 443., 451., 824.],
       [186., 774., 612., 458., 533., 572., 243., 334., 835., 663.],
       [416., 267., 215., 644., 559., 724.,  76., 718., 610., 820.],
       [527., 241., 550.,  86., 632., 399., 724., 554., 672., 479.],
       [508.,  51., 149., 101., 644., 338., 367., 416., 681., 714.],
       [682., 112., 559., 505.,  68., 201., 177., 322., 270., 244.],
       [406., 234.,  59., 461., 345., 196., 369., 415., 243., 499.],
       [181., 342., 378., 212., 480., 131., 656., 144.,  57., 247.],
       [376., 377., 241., 552., 122., 504., 252., 109., 165., 415.],
       [357., 598., 535., 505., 319., 400., 259., 410., 231., 466.],
       [729., 379., 708., 660., 247., 217., 439., 161., 501., 480.],
       [448., 259., 247., 682.,  93., 479., 366., 589., 401., 773.],
       [343., 347., 428., 113., 731., 360., 677., 413., 354., 495.],
       [121., 481.,  71., 602., 420., 698., 548., 193., 187., 186.],
       [607., 580., 480., 551., 608., 279., 425., 620., 133., 754.],
       [697., 120., 519., 467., 222., 331., 149., 470., 212., 216.],
       [460., 362., 222., 372., 506.,  80., 453., 376., 294., 352.],
       [240., 428., 433., 377., 360., 188., 689., 131., 111., 202.],
       [535., 399., 405., 578.,  47., 434.,  97., 273., 321., 567.],
       [252., 656., 617., 539., 162., 526., 271., 338., 392., 307.],
       [910., 331., 787., 733., 272., 391., 182., 462., 488., 171.],
       [628., 104., 201., 672., 437., 381., 578., 642.,  54., 661.],
       [410., 551., 600., 240., 671., 125., 880., 185., 243., 194.],
       [469., 607., 338., 778., 274., 724., 339., 264., 171., 528.],
       [557., 812., 737., 730., 469., 569., 489., 627., 221., 605.],
       [373., 444., 455., 427., 398., 266., 638., 223., 439., 706.],
       [173., 593., 461., 537., 306., 520., 118., 405., 686., 713.],
       [324., 138., 180., 448., 626., 589., 309., 605., 498., 708.],
       [296., 261., 345., 268., 541., 507., 660., 390., 493., 246.],
       [533., 202.,  97., 226., 629., 107., 329., 477., 484., 738.],
       [520., 371., 270., 245., 497., 521., 513., 652., 227., 573.],
       [443., 712., 540.,  82., 727., 297., 502., 213., 661., 129.],
       [386., 492., 432., 678.,  20., 552., 551., 498., 444., 553.],
       [746., 352., 657., 455., 403., 152., 383., 550., 645., 747.],
       [125., 582., 608., 449., 235., 639., 316., 135., 705., 203.],
       [294., 310., 205., 162., 358., 291., 530., 379., 212., 605.],
       [108., 606., 427., 258., 468., 336., 181., 125., 635., 446.],
       [213., 181., 103., 506., 351., 518., 283., 500., 396., 597.],
       [478.,  24., 438., 172., 406., 229., 487., 389., 511., 458.],
       [276., 268., 274., 138., 405., 328., 139., 200., 542., 486.],
       [740., 285., 515., 473., 408., 500., 293., 643., 268., 332.],
       [561., 542., 414., 327., 689., 186., 581., 397., 444., 205.],
       [383., 560., 538., 568., 264., 361., 751., 294., 302., 308.],
       [717., 480., 592., 641., 238., 405., 137., 461., 510., 742.],
       [221., 745., 732., 615.,  72., 680., 372., 328., 582., 132.]])}
